Voxel Number =0 Voxel Boundary [-1e-16,0.1,-1e-16,0.1]
Voxel Number =1 Voxel Boundary [0.1,0.2,-1e-16,0.1]
Voxel Number =2 Voxel Boundary [0.2,0.3,-1e-16,0.1]
Voxel Number =3 Voxel Boundary [0.3,0.4,-1e-16,0.1]
Voxel Number =4 Voxel Boundary [0.4,0.5,-1e-16,0.1]
Voxel Number =5 Voxel Boundary [0.5,0.6,-1e-16,0.1]
Voxel Number =6 Voxel Boundary [0.6,0.7,-1e-16,0.1]
Voxel Number =7 Voxel Boundary [0.7,0.8,-1e-16,0.1]
Voxel Number =8 Voxel Boundary [0.8,0.9,-1e-16,0.1]
Voxel Number =9 Voxel Boundary [0.9,1,-1e-16,0.1]
Voxel Number =10 Voxel Boundary [-1e-16,0.1,0.1,0.2]
Voxel Number =11 Voxel Boundary [0.1,0.2,0.1,0.2]
Voxel Number =12 Voxel Boundary [0.2,0.3,0.1,0.2]
Voxel Number =13 Voxel Boundary [0.3,0.4,0.1,0.2]
Voxel Number =14 Voxel Boundary [0.4,0.5,0.1,0.2]
Voxel Number =15 Voxel Boundary [0.5,0.6,0.1,0.2]
Voxel Number =16 Voxel Boundary [0.6,0.7,0.1,0.2]
Voxel Number =17 Voxel Boundary [0.7,0.8,0.1,0.2]
Voxel Number =18 Voxel Boundary [0.8,0.9,0.1,0.2]
Voxel Number =19 Voxel Boundary [0.9,1,0.1,0.2]
Voxel Number =20 Voxel Boundary [-1e-16,0.1,0.2,0.3]
Voxel Number =21 Voxel Boundary [0.1,0.2,0.2,0.3]
Voxel Number =22 Voxel Boundary [0.2,0.3,0.2,0.3]
Voxel Number =23 Voxel Boundary [0.3,0.4,0.2,0.3]
Voxel Number =24 Voxel Boundary [0.4,0.5,0.2,0.3]
Voxel Number =25 Voxel Boundary [0.5,0.6,0.2,0.3]
Voxel Number =26 Voxel Boundary [0.6,0.7,0.2,0.3]
Voxel Number =27 Voxel Boundary [0.7,0.8,0.2,0.3]
Voxel Number =28 Voxel Boundary [0.8,0.9,0.2,0.3]
Voxel Number =29 Voxel Boundary [0.9,1,0.2,0.3]
Voxel Number =30 Voxel Boundary [-1e-16,0.1,0.3,0.4]
Voxel Number =31 Voxel Boundary [0.1,0.2,0.3,0.4]
Voxel Number =32 Voxel Boundary [0.2,0.3,0.3,0.4]
Voxel Number =33 Voxel Boundary [0.3,0.4,0.3,0.4]
Voxel Number =34 Voxel Boundary [0.4,0.5,0.3,0.4]
Voxel Number =35 Voxel Boundary [0.5,0.6,0.3,0.4]
Voxel Number =36 Voxel Boundary [0.6,0.7,0.3,0.4]
Voxel Number =37 Voxel Boundary [0.7,0.8,0.3,0.4]
Voxel Number =38 Voxel Boundary [0.8,0.9,0.3,0.4]
Voxel Number =39 Voxel Boundary [0.9,1,0.3,0.4]
Voxel Number =40 Voxel Boundary [-1e-16,0.1,0.4,0.5]
Voxel Number =41 Voxel Boundary [0.1,0.2,0.4,0.5]
Voxel Number =42 Voxel Boundary [0.2,0.3,0.4,0.5]
Voxel Number =43 Voxel Boundary [0.3,0.4,0.4,0.5]
Voxel Number =44 Voxel Boundary [0.4,0.5,0.4,0.5]
Voxel Number =45 Voxel Boundary [0.5,0.6,0.4,0.5]
Voxel Number =46 Voxel Boundary [0.6,0.7,0.4,0.5]
Voxel Number =47 Voxel Boundary [0.7,0.8,0.4,0.5]
Voxel Number =48 Voxel Boundary [0.8,0.9,0.4,0.5]
Voxel Number =49 Voxel Boundary [0.9,1,0.4,0.5]
Voxel Number =50 Voxel Boundary [-1e-16,0.1,0.5,0.6]
Voxel Number =51 Voxel Boundary [0.1,0.2,0.5,0.6]
Voxel Number =52 Voxel Boundary [0.2,0.3,0.5,0.6]
Voxel Number =53 Voxel Boundary [0.3,0.4,0.5,0.6]
Voxel Number =54 Voxel Boundary [0.4,0.5,0.5,0.6]
Voxel Number =55 Voxel Boundary [0.5,0.6,0.5,0.6]
Voxel Number =56 Voxel Boundary [0.6,0.7,0.5,0.6]
Voxel Number =57 Voxel Boundary [0.7,0.8,0.5,0.6]
Voxel Number =58 Voxel Boundary [0.8,0.9,0.5,0.6]
Voxel Number =59 Voxel Boundary [0.9,1,0.5,0.6]
Voxel Number =60 Voxel Boundary [-1e-16,0.1,0.6,0.7]
Voxel Number =61 Voxel Boundary [0.1,0.2,0.6,0.7]
Voxel Number =62 Voxel Boundary [0.2,0.3,0.6,0.7]
Voxel Number =63 Voxel Boundary [0.3,0.4,0.6,0.7]
Voxel Number =64 Voxel Boundary [0.4,0.5,0.6,0.7]
Voxel Number =65 Voxel Boundary [0.5,0.6,0.6,0.7]
Voxel Number =66 Voxel Boundary [0.6,0.7,0.6,0.7]
Voxel Number =67 Voxel Boundary [0.7,0.8,0.6,0.7]
Voxel Number =68 Voxel Boundary [0.8,0.9,0.6,0.7]
Voxel Number =69 Voxel Boundary [0.9,1,0.6,0.7]
Voxel Number =70 Voxel Boundary [-1e-16,0.1,0.7,0.8]
Voxel Number =71 Voxel Boundary [0.1,0.2,0.7,0.8]
Voxel Number =72 Voxel Boundary [0.2,0.3,0.7,0.8]
Voxel Number =73 Voxel Boundary [0.3,0.4,0.7,0.8]
Voxel Number =74 Voxel Boundary [0.4,0.5,0.7,0.8]
Voxel Number =75 Voxel Boundary [0.5,0.6,0.7,0.8]
Voxel Number =76 Voxel Boundary [0.6,0.7,0.7,0.8]
Voxel Number =77 Voxel Boundary [0.7,0.8,0.7,0.8]
Voxel Number =78 Voxel Boundary [0.8,0.9,0.7,0.8]
Voxel Number =79 Voxel Boundary [0.9,1,0.7,0.8]
Voxel Number =80 Voxel Boundary [-1e-16,0.1,0.8,0.9]
Voxel Number =81 Voxel Boundary [0.1,0.2,0.8,0.9]
Voxel Number =82 Voxel Boundary [0.2,0.3,0.8,0.9]
Voxel Number =83 Voxel Boundary [0.3,0.4,0.8,0.9]
Voxel Number =84 Voxel Boundary [0.4,0.5,0.8,0.9]
Voxel Number =85 Voxel Boundary [0.5,0.6,0.8,0.9]
Voxel Number =86 Voxel Boundary [0.6,0.7,0.8,0.9]
Voxel Number =87 Voxel Boundary [0.7,0.8,0.8,0.9]
Voxel Number =88 Voxel Boundary [0.8,0.9,0.8,0.9]
Voxel Number =89 Voxel Boundary [0.9,1,0.8,0.9]
Voxel Number =90 Voxel Boundary [-1e-16,0.1,0.9,1]
Voxel Number =91 Voxel Boundary [0.1,0.2,0.9,1]
Voxel Number =92 Voxel Boundary [0.2,0.3,0.9,1]
Voxel Number =93 Voxel Boundary [0.3,0.4,0.9,1]
Voxel Number =94 Voxel Boundary [0.4,0.5,0.9,1]
Voxel Number =95 Voxel Boundary [0.5,0.6,0.9,1]
Voxel Number =96 Voxel Boundary [0.6,0.7,0.9,1]
Voxel Number =97 Voxel Boundary [0.7,0.8,0.9,1]
Voxel Number =98 Voxel Boundary [0.8,0.9,0.9,1]
Voxel Number =99 Voxel Boundary [0.9,1,0.9,1]
